Yazı görüntüsü,Yazı başlığı,Yayınlama tarihi,Yazı görüntülenmeleri,Tekil ziyaretçiler,Yorumlar,Beğeniler,wix_url,live_headline,live_published_date,wix_visible_author,wix_author_profile_url,resolution_status,match_method,notes,manual_search_query
"https://static.wixstatic.com/media/842c16_f4574af704ca4d9e870814cd934ed0a4~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/842c16_f4574af704ca4d9e870814cd934ed0a4~mv2.jpg",UZAYLI İSTİLASI TEMALI FAVORİ 10 FİLM,02.09.2022,264,243,0,0,https://www.benizledim.com/post/uzayli-i-sti-lasi-temali-favori-10-fi-lmi-m,UZAYLI İSTİLASI TEMALI FAVORİ 10 FİLM,2022-09-01T23:02:08.138Z,Melike Zeynep Korkmaz,https://www.benizledim.com/profile/melikezeynepkorkmaz/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""UZAYLI İSTİLASI TEMALI FAVORİ 10 FİLM"""
"https://static.wixstatic.com/media/2031bc_aaae6cf8d97c486faa33ffeb25fdeb9a~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2031bc_aaae6cf8d97c486faa33ffeb25fdeb9a~mv2.jpg",Fantastic 4 After Credits Var Mı?,19.07.2025,264,224,0,1,https://www.benizledim.com/post/fantastic-4-after-credits-var-mı,Fantastic 4 After Credits Var Mı?,2025-07-19T20:30:30.445Z,Alphan Karabat,https://www.benizledim.com/profile/alphankarabat/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Fantastic 4 After Credits Var Mı?"""
"https://static.wixstatic.com/media/2031bc_7d34f416c8484c34bcbb86bb59c10361~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2031bc_7d34f416c8484c34bcbb86bb59c10361~mv2.jpg",Galaksinin Koruyucuları 3 - Şarkıları Soundtracks,06.05.2023,262,167,0,0,https://www.benizledim.com/post/galaksinin-koruyucuları-3-şarkıları-soundtracks,"Galaksinin Koruyucuları 3 - Şarkıları, Soundtracks",2023-05-06T10:26:48.202Z,Alphan Karabat,https://www.benizledim.com/profile/alphankarabat/profile,resolved,normalized_title,unique live title match,"site:benizledim.com/post ""Galaksinin Koruyucuları 3 - Şarkıları Soundtracks"""
"https://static.wixstatic.com/media/af6835_c7b72b1c6aa54c508cc4057a59e985d4~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/af6835_c7b72b1c6aa54c508cc4057a59e985d4~mv2.png",Victoria Dönemi ve Günümüze Etkileri,26.04.2023,173,155,0,0,https://www.benizledim.com/post/victoria-dönemi-ve-günümüze-etkileri,Victoria Dönemi ve Günümüze Etkileri,2023-04-26T00:07:09.058Z,Hüseyin Emre Sepetci,https://www.benizledim.com/profile/huseyinemresepetci/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Victoria Dönemi ve Günümüze Etkileri"""
"https://static.wixstatic.com/media/6d029e_72ab55c3b23f4ff1aea9d4ec845d4233~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/6d029e_72ab55c3b23f4ff1aea9d4ec845d4233~mv2.jpg",Japon Sinemasında İzlemeniz Gereken 5 Film,27.09.2022,162,143,0,0,https://www.benizledim.com/post/japon-sinemasında-i-zlemeniz-gereken-5-film,Japon Sinemasında İzlemeniz Gereken 5 Film,2022-09-27T18:53:50.031Z,İris Eryılmaz,https://www.benizledim.com/profile/iriseryilmaz/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Japon Sinemasında İzlemeniz Gereken 5 Film"""
"https://static.wixstatic.com/media/2031bc_0a1d1662f8aa409bb6c0a263a32f85f8~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2031bc_0a1d1662f8aa409bb6c0a263a32f85f8~mv2.png",Görmeden İzlenen Film | The Guilty,29.09.2022,156,143,0,0,https://www.benizledim.com/post/the-guilty,Görmeden İzlenen Film | The Guilty,2022-09-29T12:05:19.774Z,Alphan Karabat,https://www.benizledim.com/profile/alphankarabat/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Görmeden İzlenen Film | The Guilty"""
"https://static.wixstatic.com/media/e2372f_15451f8541b34a7e847c762199b77191~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/e2372f_15451f8541b34a7e847c762199b77191~mv2.jpg",Vücut,18.04.2023,155,145,0,0,https://www.benizledim.com/post/vücut,Vücut,2023-04-18T20:45:52.063Z,Gökçe Serim,https://www.benizledim.com/profile/serimgokce/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Vücut"""
"https://static.wixstatic.com/media/857a1e_c9fbc9dd3c9b4c6f83e1f6ac04d3e442~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/857a1e_c9fbc9dd3c9b4c6f83e1f6ac04d3e442~mv2.jpg",“Nitram” Gerçek Bir Suç Filmi.,02.08.2023,137,116,0,1,https://www.benizledim.com/post/nitram,“Nitram” Gerçek Bir Suç Filmi.,2023-08-02T19:19:09.102Z,Emel Timorci,https://www.benizledim.com/profile/timorciemel/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""“Nitram” Gerçek Bir Suç Filmi."""
"https://static.wixstatic.com/media/2031bc_b66b35f17ca64c0283befff3775cb7b4~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2031bc_b66b35f17ca64c0283befff3775cb7b4~mv2.jpg",Kaptan Amerika 4 After Credit Var Mı?,18.02.2025,126,118,0,3,https://www.benizledim.com/post/kaptan-amerika-4-after-credit-var-mı,Kaptan Amerika 4 After Credit Var Mı?,2025-02-18T14:22:50.913Z,Alphan Karabat,https://www.benizledim.com/profile/alphankarabat/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Kaptan Amerika 4 After Credit Var Mı?"""
"https://static.wixstatic.com/media/2031bc_c125cf5c99cd4be986956cbc803e2220~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2031bc_c125cf5c99cd4be986956cbc803e2220~mv2.jpg",Şeker Henry'nin İnanılmaz Dünyası,30.09.2023,124,105,0,0,https://www.benizledim.com/post/şeker-henry,Şeker Henry'nin İnanılmaz Dünyası,2023-09-30T14:12:51.943Z,Alphan Karabat,https://www.benizledim.com/profile/alphankarabat/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Şeker Henry'nin İnanılmaz Dünyası"""
"https://static.wixstatic.com/media/e2372f_3b18fe4017c04829ad882ad9beb0c2bb~mv2.jpeg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/e2372f_3b18fe4017c04829ad882ad9beb0c2bb~mv2.jpeg",Triangle of Sadness/Hüzün Üçgeni,05.08.2024,104,84,0,0,https://www.benizledim.com/post/triangle-of-sadness-hüzün-üçgeni,Triangle of Sadness/Hüzün Üçgeni,2024-08-05T09:14:02.271Z,Gökçe Serim,https://www.benizledim.com/profile/serimgokce/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Triangle of Sadness/Hüzün Üçgeni"""
"https://static.wixstatic.com/media/34960a_60be39cd51dd4b3c93c362502f063a64~mv2.jpeg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/34960a_60be39cd51dd4b3c93c362502f063a64~mv2.jpeg",Eternity And A Day: Söyle Bana Yarın Ne Kadar Sürecek?,20.09.2022,102,66,0,1,https://www.benizledim.com/post/eternity-and-a-day-söyle-bana-yarın-ne-kadar-sürecek,"Eternity And A Day: Söyle Bana, Yarın Ne Kadar Sürecek?",2022-09-19T23:33:20.375Z,Hümeyra Fidan,https://www.benizledim.com/profile/humeyrafidan8/profile,resolved,normalized_title,unique live title match,"site:benizledim.com/post ""Eternity And A Day: Söyle Bana Yarın Ne Kadar Sürecek?"""
"https://static.wixstatic.com/media/2031bc_67422fd356b645aba68780be05fe9db7~mv2.webp/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2031bc_67422fd356b645aba68780be05fe9db7~mv2.webp",Dune 3 Çıkacak mı? Ne zaman çıkacak?,03.03.2024,93,90,0,0,https://www.benizledim.com/post/dune-3-çıkacak-mı-ne-zaman-çıkacak,Dune 3 Çıkacak mı? Ne zaman çıkacak?,2024-03-03T10:48:52.346Z,Alphan Karabat,https://www.benizledim.com/profile/alphankarabat/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Dune 3 Çıkacak mı? Ne zaman çıkacak?"""
"https://static.wixstatic.com/media/61dd5d_ea69c59829cd404e94c6951399da1010~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/61dd5d_ea69c59829cd404e94c6951399da1010~mv2.jpg",Gerçeğin Dansı (La danza de la realidad) - Alejandro Jodorowsky,19.09.2022,92,85,0,0,https://www.benizledim.com/post/gerçeğin-dansı-la-danza-de-la-realidad-alejandro-jodorowsky,Gerçeğin Dansı (La danza de la realidad) - Alejandro Jodorowsky,2022-09-19T09:58:46.185Z,Gurur Sönmez,https://www.benizledim.com/profile/gurursonmez/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Gerçeğin Dansı (La danza de la realidad) - Alejandro Jodorowsky"""
"https://static.wixstatic.com/media/2031bc_a2b8d88d90a341469b0f576be2717b75~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2031bc_a2b8d88d90a341469b0f576be2717b75~mv2.jpg",Vahşi Batıda Ölmenin Milyonlarca Yolu,14.10.2023,89,75,0,0,https://www.benizledim.com/post/vahşi-batıda-ölmenin-milyonlarca-yolu,Vahşi Batıda Ölmenin Milyonlarca Yolu,2023-10-14T16:50:57.789Z,Alphan Karabat,https://www.benizledim.com/profile/alphankarabat/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Vahşi Batıda Ölmenin Milyonlarca Yolu"""
"https://static.wixstatic.com/media/61dd5d_1f7e2a7055b54f4eb5c38d33ef855cc9~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/61dd5d_1f7e2a7055b54f4eb5c38d33ef855cc9~mv2.png",The Young Pope,10.09.2022,88,80,0,0,https://www.benizledim.com/post/the-young-pope,The Young Pope,2022-09-10T11:18:13.181Z,Gurur Sönmez,https://www.benizledim.com/profile/gurursonmez/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""The Young Pope"""
"https://static.wixstatic.com/media/2031bc_582c3f73fcb840b2b13f17188e9a8746~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2031bc_582c3f73fcb840b2b13f17188e9a8746~mv2.jpg",Sherlock Holmes 3 Ne Zaman Çıkacak?,03.12.2023,84,81,0,0,https://www.benizledim.com/post/sherlock-holmes-3-ne-zaman-çıkacak,Sherlock Holmes 3 Ne Zaman Çıkacak?,2023-12-03T19:55:44.438Z,Alphan Karabat,https://www.benizledim.com/profile/alphankarabat/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Sherlock Holmes 3 Ne Zaman Çıkacak?"""
"https://static.wixstatic.com/media/e2372f_81dbe1aec5434f91aec047f51afc9143~mv2.jpeg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/e2372f_81dbe1aec5434f91aec047f51afc9143~mv2.jpeg",Oslo Üçlemesi: Reprise,01.09.2022,82,73,0,0,https://www.benizledim.com/post/oslo-üçlemesi-reprise,Oslo Üçlemesi: Reprise,2022-09-01T17:37:42.022Z,Gökçe Serim,https://www.benizledim.com/profile/serimgokce/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Oslo Üçlemesi: Reprise"""
https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg,Hikâyenin Peşinde: Tuna Yüksel ile Yazarlık Dil ve Sinema Üzerine,30.10.2025,79,33,0,0,https://www.benizledim.com/post/hikâyenin-peşinde-tuna-yüksel-ile-yazarlık-dil-ve-sinema-üzerine,"Hikâyenin Peşinde: Tuna Yüksel ile Yazarlık, Dil ve Sinema Üzerine",2025-10-30T07:54:22.483Z,İris Eryılmaz,https://www.benizledim.com/profile/iriseryilmaz/profile,resolved,normalized_title,unique live title match,"site:benizledim.com/post ""Hikâyenin Peşinde: Tuna Yüksel ile Yazarlık Dil ve Sinema Üzerine"""
"https://static.wixstatic.com/media/61dd5d_f494100755204a2a945be47e0a728f68~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/61dd5d_f494100755204a2a945be47e0a728f68~mv2.png",Dexter: Resurrection: Efsanevi Seri Geri Dönüyor!,02.05.2025,78,66,0,1,https://www.benizledim.com/post/dexterresurrection-dexteryenisezon,Dexter: Resurrection: Efsanevi Seri Geri Dönüyor!,2025-05-02T05:54:38.247Z,Ben İzledim,https://www.benizledim.com/profile/benizledimblog/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Dexter: Resurrection: Efsanevi Seri Geri Dönüyor!"""
"https://static.wixstatic.com/media/b9f634_039dc2a9d6c047d5b2b698f51de23283~mv2.jpeg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b9f634_039dc2a9d6c047d5b2b698f51de23283~mv2.jpeg",81. Venedik Film Festivali'nden Gecenin Kıyısı,07.09.2024,77,74,0,2,,,,,,missing_live_match,,,"site:benizledim.com/post ""81. Venedik Film Festivali'nden Gecenin Kıyısı"""
"https://static.wixstatic.com/media/61dd5d_c6467bb081d84da9b935318b253fdcc3~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/61dd5d_c6467bb081d84da9b935318b253fdcc3~mv2.png",The Exorcist: Hayat değiştiren film.,17.08.2022,73,61,0,0,https://www.benizledim.com/post/exorcist-hayat-değiştiren-film,The Exorcist: Hayat değiştiren film.,2022-08-17T06:45:34.453Z,Gurur Sönmez,https://www.benizledim.com/profile/gurursonmez/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""The Exorcist: Hayat değiştiren film."""
"https://static.wixstatic.com/media/e2372f_96995fdd9acf4dba91b4232e1223b1da~mv2.jpeg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/e2372f_96995fdd9acf4dba91b4232e1223b1da~mv2.jpeg",Io Capitano/Kaptan Benim,27.02.2024,70,63,0,0,https://www.benizledim.com/post/io-capitano-kaptan-benim,Io Capitano/Kaptan Benim,2024-02-27T19:46:40.881Z,Gökçe Serim,https://www.benizledim.com/profile/serimgokce/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Io Capitano/Kaptan Benim"""
"https://static.wixstatic.com/media/2f11da_5009c286897642e389f91e036c44c9a8~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2f11da_5009c286897642e389f91e036c44c9a8~mv2.jpg",Pearl (2022) - Dirençli Kadın Ruhunun Çürüttüğü Kurtlu Bedenler,09.06.2023,66,52,0,0,https://www.benizledim.com/post/di-rençli-kadin-ruhunun-çürüttüğü-kurtlanmiş-bedenler-pearl-2022,Pearl (2022) - Dirençli Kadın Ruhunun Çürüttüğü Kurtlu Bedenler,2023-06-09T07:56:07.081Z,Muhammed Muğlu,https://www.benizledim.com/profile/muhammedmuglu/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Pearl (2022) - Dirençli Kadın Ruhunun Çürüttüğü Kurtlu Bedenler"""
"https://static.wixstatic.com/media/2031bc_31a057a59662440dac9f04e6359b6c6f~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2031bc_31a057a59662440dac9f04e6359b6c6f~mv2.jpg",Türk Animasyon Dizisi: Kozmos Dedektifleri,04.10.2024,65,47,0,1,https://www.benizledim.com/post/türk-animasyon-dizisi-kozmos-dedektifleri,Türk Animasyon Dizisi: Kozmos Dedektifleri,2024-10-04T07:39:19.937Z,Alphan Karabat,https://www.benizledim.com/profile/alphankarabat/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Türk Animasyon Dizisi: Kozmos Dedektifleri"""
"https://static.wixstatic.com/media/2031bc_9c8553f743994362884841c381d87e4e~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2031bc_9c8553f743994362884841c381d87e4e~mv2.jpg",Aşk Robot: Wall-E,28.08.2022,63,54,0,0,https://www.benizledim.com/post/ask-robot-wall-e,Aşk Robot: Wall-E,2022-08-28T09:05:40.068Z,Alphan Karabat,https://www.benizledim.com/profile/alphankarabat/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Aşk Robot: Wall-E"""
"https://static.wixstatic.com/media/61dd5d_cff5378f49bd4c4d97300a47437c1127~mv2.jpeg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/61dd5d_cff5378f49bd4c4d97300a47437c1127~mv2.jpeg",Duvara Karşı Gegen die Wand (2004),29.08.2022,57,54,0,0,https://www.benizledim.com/post/duvara-karşı-gegen-die-wand,"Duvara Karşı, Gegen die Wand, (2004)",2022-08-29T10:50:50.782Z,Gurur Sönmez,https://www.benizledim.com/profile/gurursonmez/profile,resolved,normalized_title,unique live title match,"site:benizledim.com/post ""Duvara Karşı Gegen die Wand (2004)"""
https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg,Köln 75: Uçurumun Kenarındaki Bir Adam ve Kırık Bir Piyano Tarihin En Çok Satan Solo Caz Albümünü Nasıl Yarattı?,03.09.2025,56,27,0,1,,,,,,missing_live_match,,,"site:benizledim.com/post ""Köln 75: Uçurumun Kenarındaki Bir Adam ve Kırık Bir Piyano Tarihin En Çok Satan Solo Caz Albümünü Nasıl Yarattı?"""
"https://static.wixstatic.com/media/61dd5d_3e62b915333b4e1daed13f0bcc73411e~mv2.webp/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/61dd5d_3e62b915333b4e1daed13f0bcc73411e~mv2.webp",Çıkışlar Hediyelik Eşya Dükkanından (Exit Through The Gift Shop) ve Banksy,23.10.2022,56,50,0,0,https://www.benizledim.com/post/banksy,Çıkışlar Hediyelik Eşya Dükkanından (Exit Through The Gift Shop) ve Banksy,2022-10-23T06:45:53.817Z,Gurur Sönmez,https://www.benizledim.com/profile/gurursonmez/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Çıkışlar Hediyelik Eşya Dükkanından (Exit Through The Gift Shop) ve Banksy"""
